,wins
1402,94
1403,98
1404,89
1405,69
1406,91
1407,110
1408,101
1409,88
1410,86
1411,94
1412,107
1413,91
1414,94
1415,102
1416,102
1417,99
1418,106
1419,88
1420,101
1421,103
1422,98
1423,83
1424,81
1425,87
1426,97
1427,94
1428,97
1429,98
1430,98
1431,95
1432,99
1433,103
1434,96
1435,97
1436,98
1437,92
1438,79
1439,97
1440,109
1441,96
1442,104
1443,99
1444,77
1445,70
1446,72
1447,83
1448,80
1449,93
1450,82
1451,79
1452,80
1453,89
1454,83
1455,97
1456,100
1457,100
1458,89
1459,103
1460,79
1461,91
1462,87
1463,97
1464,90
1465,89
1466,85
1467,74
1468,67
1469,71
1470,76
1471,88
1472,92
1473,96
1474,114
1475,98
1476,87
1477,95
1478,103
1479,101
1480,101
1481,95
1482,97
1483,94
1484,89
1485,103
1486,95
1487,97
1488,95
1489,85
1490,84
1491,87
1492,84
1493,81
1494,92
1495,88
1496,68
1497,95
1498,102
1499,101
1500,90
1501,96
1502,99
1503,43
1504,36
1505,55
1506,48
1507,53
1508,65
1509,69
1510,71
1511,88
1512,83
1513,91
1514,98
1515,104
1516,102
1517,107
1518,94
1519,79
1520,68
1521,53
1522,54
1523,53
1524,55
1525,54
1526,64
1527,55
1528,49
1529,72
1530,52
1531,49
1532,78
1533,84
1534,81
1535,52
1536,70
1537,79
1538,59
1539,51
1540,63
1541,52
1542,59
1543,73
1544,66
1545,58
1546,61
1547,72
1548,73
1549,57
1550,59
1551,74
1552,62
1553,82
1554,88
1555,89
1556,101
1557,93
1558,94
1559,90
1560,98
1561,87
1562,63
1563,69
1564,54
1565,83
1566,68
1567,74
1568,77
1569,77
1570,76
1571,81
1572,104
1573,99
1574,103
1575,84
1576,96
1577,68
1578,78
1579,65
1580,74
1581,87
1582,91
1583,102
1584,103
1585,96
1586,91
1587,88
1588,93
1589,76
1590,75
1591,75
1592,81
1593,74
1594,94
1595,96
1596,88
1597,68
1598,69
1599,52
1600,83
1601,71
1602,83
1603,74
1604,78
1605,79
1606,73
1607,88
1608,74
1609,90
1610,91
1611,87
1612,62
1613,51
1614,57
1615,50
1616,55
1617,68
1618,58
1619,51
1620,43
1621,71
1622,52
1623,66
1624,78
1625,60
1626,64
1627,54
1628,61
1629,45
1630,45
1631,50
1632,43
1633,42
1634,64
1635,61
1636,46
1637,69
1638,62
1639,66
1640,81
1641,91
1642,73
1643,87
1644,83
1645,75
1646,77
1647,71
1648,77
1649,69
1650,64
1651,59
1652,47
1653,81
1654,87
1655,92
1656,85
1657,87
1658,82
1659,76
1660,63
1661,73
1662,67
1663,59
1664,71
1665,80
1666,86
1667,101
1668,101
1669,90
1670,84
1671,91
1672,89
1673,90
1674,81
1675,75
1676,86
1677,80
1678,65
1679,67
1680,77
1681,78
1682,70
1683,97
1684,67
1685,68
1686,75
1687,77
1688,65
1689,86
1690,80
1691,86
1692,86
1693,88
1694,85
1695,89
1696,92
1697,93
1698,97
1699,102
1700,81
1701,73
1702,73
1703,63
1704,71
1705,87
1706,96
1707,93
1708,91
1709,98
1710,110
1711,86
1712,85
1713,93
1714,78
1715,69
1716,73
1717,65
1718,51
1719,79
1720,90
1721,85
1722,87
1723,90
1724,95
1725,84
1726,94
1727,85
1728,88
1729,80
1730,75
1731,86
1732,87
1733,74
1734,86
1735,84
1736,86
1737,86
1738,68
1739,78
1740,81
1741,66
1742,80
1743,90
1744,82
1745,63
1746,62
1747,83
1748,71
1749,57
1750,64
1751,42
1752,50
1753,53
1754,60
1755,66
1756,62
1757,84
1758,78
1759,95
1760,75
1761,93
1762,74
1763,80
1764,90
1765,92
1766,81
1767,80
1768,88
1769,89
1770,97
1771,96
1772,80
1773,88
1774,92
1775,92
1776,96
1777,88
1778,98
1779,83
1780,84
1781,84
1782,75
1783,57
1784,64
1785,80
1786,85
1787,74
1788,95
1789,98
1790,96
1791,75
1792,73
1793,79
1794,69
1795,78
1796,69
1797,62
1798,72
1799,75
1800,72
1801,67
1802,67
1803,68
1804,67
1805,62
1806,57
1807,72
1808,79
1809,94
1810,88
1811,98
1812,78
1813,52
1814,63
1815,61
1816,58
1817,60
1818,60
1819,71
1820,73
1821,69
1822,84
1823,68
1824,73
1825,81
1826,81
1827,92
1828,83
1829,74
1830,65
1831,83
1832,89
1833,75
1834,84
1835,82
1836,61
1837,91
1838,76
1839,98
1840,74
1841,76
1842,79
1843,66
1844,64
1845,87
1846,82
1847,88
1848,89
1849,63
1850,75
1851,90
1852,71
1853,76
1854,76
1855,77
1856,74
1857,68
1858,64
1859,56
1860,67
1861,59
1862,76
1863,60
1864,74
1865,74
1866,67
1867,78
1868,68
1869,73
1870,77
1871,83
1872,64
1873,82
1874,85
1875,90
1876,76
1877,79
1878,91
1879,116
1880,93
1881,93
1882,63
1883,69
1884,78
1885,88
1886,61
1887,85
1888,61
1889,67
1890,75
1891,71
1892,87
1893,76
1894,86
1895,106
1896,105
1897,96
1898,82
1899,98
1900,92
1901,91
1902,99
1903,103
1904,101
1905,84
1906,69
1907,86
1908,98
1909,86
1910,94
1911,93
1912,95
1913,93
1914,86
1915,74
1916,92
1917,93
1918,84
1919,87
1920,87
1921,72
1922,91
1923,93
1924,91
1925,92
1926,95
1927,83
1928,77
1929,72
1930,74
1931,85
1932,55
1933,67
1934,78
1935,61
1936,81
1937,78
1938,73
1939,86
1940,98
1941,92
1942,70
1943,97
1944,80
1945,67
1946,69
1947,80
1948,83
1949,79
1950,85
1951,103
1952,88
1953,90
1954,95
1955,93
1956,91
1957,88
1958,90
1959,86
1960,90
1961,69
1962,88
1963,72
1964,80
1965,74
1966,75
1967,89
1968,71
1969,75
1970,87
1971,79
1972,66
1973,62
1974,83
1975,90
1976,83
1977,92
1978,85
1979,75
1980,72
1981,103
1982,68
1983,90
1984,89
1985,86
1986,97
1987,90
1988,95
1989,100
1990,91
1991,75
1992,76
1993,71
1994,72
1995,88
1996,92
1997,86
1998,94
1999,76
2000,88
2001,84
2002,87
2003,75
2004,58
2005,52
2006,52
2007,49
2008,54
2009,63
2010,75
2011,63
2012,51
2013,81
2014,72
2015,60
2016,82
2017,75
2018,87
2019,85
2020,79
2021,65
2022,77
2023,89
2024,92
2025,95
2026,78
2027,92
2028,101
2029,72
2030,82
2031,95
2032,96
2033,87
2034,81
2035,71
2036,92
2037,84
2038,97
2039,106
2040,105
2041,105
2042,95
2043,98
2044,89
2045,85
2046,96
2047,78
2048,81
2049,88
2050,83
2051,72
2052,68
2053,76
2054,87
2055,72
2056,71
2057,86
2058,80
2059,84
2060,93
2061,93
2062,80
2063,83
2064,101
2065,97
2066,87
2067,76
2068,90
2069,75
2070,81
2071,86
2072,82
2073,72
2074,83
2075,69
2076,86
2077,74
2078,92
2079,79
2080,84
2081,101
2082,79
2083,95
2084,76
2085,86
2086,70
2087,84
2088,83
2089,87
2090,88
2091,73
2092,83
2093,75
2094,95
2095,93
2096,97
2097,85
2098,105
2099,100
2100,83
2101,78
2102,86
2103,91
2104,86
2105,90
2106,88
2107,97
2108,90
2109,100
2110,86
2111,63
2112,69
2113,69
2114,62
2115,55
2116,63
2117,70
2118,67
2119,61
2120,66
2121,97
2122,84
2123,96
2124,91
2125,90
2126,92
2127,77
2128,80
2129,68
2130,61
2131,60
2132,56
